datetime,open,high,low,close,volume,변동 %
2020-08-20 0:00,48000.00,49500.00,46500.00,48040.00,7.53K,0.0108
2020-08-21 0:00,48440.00,49492.50,48440.00,49007.50,-,0.0201
2020-08-22 0:00,49000.00,49490.00,46005.00,48287.50,-,-0.0147
2020-08-23 0:00,49415.00,51065.00,45950.00,48925.00,15.41K,0.0132
2020-08-24 0:00,49300.00,53210.00,49115.00,52785.00,9.78K,0.0789
2020-08-25 0:00,52680.00,53080.00,51250.00,52340.00,8.34K,-0.0084
2020-08-26 0:00,52035.00,56575.00,50695.00,55530.00,11.46K,0.0609
2020-08-27 0:00,57920.00,58580.00,57920.00,58520.00,-,0.0538
2020-08-28 0:00,57450.00,57790.00,48320.00,53720.00,18.52K,-0.082
2020-08-29 0:00,54515.00,54515.00,44900.00,47660.00,18.21K,-0.1128
2020-08-30 0:00,48450.00,51310.00,47010.00,49135.00,8.08K,0.0309
2020-08-31 0:00,48810.00,52040.00,48010.00,49120.00,7.07K,-0.0003
2020-09-01 0:00,48165.00,48300.00,44270.00,47001.60,0.75K,-0.0431
2020-09-02 0:00,45700.00,46125.00,45160.00,45522.50,-,-0.0315
2020-09-03 0:00,45500.00,49985.00,45150.00,48870.00,7.20K,0.0735
2020-09-04 0:00,49425.00,50550.00,47245.00,47820.00,5.99K,-0.0215
2020-09-05 0:00,48035.00,53000.00,47955.00,50900.00,6.34K,0.0644
2020-09-06 0:00,50970.00,52190.00,47425.00,48310.00,11.80K,-0.0509
2020-09-07 0:00,48125.00,49745.00,46295.00,49555.00,8.93K,0.0258
2020-09-08 0:00,49372.50,51957.50,49372.50,51430.00,-,0.0378
2020-09-09 0:00,50580.00,52425.00,49500.00,52145.00,7.53K,0.0139
2020-09-10 0:00,51995.00,55265.00,51895.00,54720.00,5.57K,0.0494
2020-09-11 0:00,54530.00,57815.00,53430.00,56620.00,7.10K,0.0347
2020-09-12 0:00,56980.00,58390.00,54685.00,57955.00,7.79K,0.0236
2020-09-13 0:00,58365.00,58725.00,55380.00,57075.00,7.97K,-0.0152
2020-09-14 0:00,57180.00,61252.50,57180.00,59550.00,-,0.0434
2020-09-15 0:00,58755.00,61255.00,54915.00,56900.00,10.37K,-0.0445
2020-09-16 0:00,57005.00,57175.00,53475.00,55910.00,7.10K,-0.0174
2020-09-17 0:00,56695.00,58490.00,54285.00,57980.00,7.70K,0.037
2020-09-18 0:00,58500.00,60280.00,57090.00,57365.00,9.66K,-0.0106
2020-09-19 0:00,57950.00,59575.00,56315.00,58975.00,6.55K,0.0281
2020-09-20 0:00,58470.00,58470.00,57280.00,57405.00,-,-0.0266
2020-09-21 0:00,58195.00,58460.00,54105.00,55605.00,7.20K,-0.0314
2020-09-22 0:00,54665.00,55895.00,52915.00,54985.00,8.66K,-0.0112
2020-09-23 0:00,54580.00,57225.00,53135.00,54645.00,8.67K,-0.0062
2020-09-24 0:00,53665.00,53665.00,50360.00,52195.00,11.14K,-0.0448
2020-09-25 0:00,52425.00,53765.00,51305.00,53346.30,-,0.0221
2020-09-26 0:00,53887.50,56320.00,53887.50,56200.00,-,0.0535
2020-09-27 0:00,55360.00,59000.00,55110.00,58210.00,7.08K,0.0358
2020-09-28 0:00,57940.00,60065.00,57585.00,59705.00,4.63K,0.0257
2020-09-29 0:00,59360.00,60540.00,57380.00,59285.00,6.92K,-0.007
2020-09-30 0:00,59580.00,60345.00,58595.00,59615.00,4.33K,0.0056
2020-10-01 0:00,59455.00,61000.00,59110.00,59615.00,2.18K,0
2020-10-02 0:00,59500.00,60000.00,58470.00,58855.00,-,-0.0127
2020-10-03 0:00,58550.00,60100.00,57155.00,59840.00,5.91K,0.0167
2020-10-04 0:00,59415.00,60350.00,57750.00,58735.00,5.27K,-0.0185
2020-10-05 0:00,58300.00,59080.00,55675.00,56310.00,11.42K,-0.0413
2020-10-06 0:00,56310.00,58655.00,55910.00,58155.00,4.61K,0.0328
2020-10-07 0:00,58010.00,59405.00,58000.00,58760.00,3.95K,0.0104
2020-10-08 0:00,58997.50,60660.00,58757.50,60525.00,-,0.03
2020-10-09 0:00,60000.00,61945.00,59915.00,60545.00,6.63K,0.0003
2020-10-10 0:00,60500.00,64450.00,60300.00,63685.00,7.15K,0.0519
2020-10-11 0:00,63885.00,65520.00,61565.00,62400.00,8.43K,-0.0202
2020-10-12 0:00,62795.00,64030.00,62375.00,63840.00,4.89K,0.0231
2020-10-13 0:00,63765.00,64000.00,60165.00,61980.00,6.63K,-0.0291
2020-10-14 0:00,61490.00,61490.00,56135.00,56390.00,-,-0.0902
2020-10-15 0:00,57120.00,57750.00,54450.00,56045.00,10.37K,-0.0061
2020-10-16 0:00,56335.00,57155.00,53430.00,56715.00,9.19K,0.012
2020-10-17 0:00,56900.00,57160.00,54325.00,55610.00,5.86K,-0.0195
2020-10-18 0:00,54825.00,55645.00,51365.00,52860.00,13.16K,-0.0495
2020-10-19 0:00,51505.00,52150.00,47395.00,50845.00,10.38K,-0.0381
2020-10-20 0:00,51312.50,51312.50,47677.50,49145.00,-,-0.0334
2020-10-21 0:00,47440.00,54410.00,47440.00,54070.00,8.34K,0.1002
2020-10-22 0:00,53370.00,55420.00,52925.00,54790.00,5.14K,0.0133
2020-10-23 0:00,55265.00,56500.00,53905.00,55410.00,6.40K,0.0113
2020-10-24 0:00,54725.00,55205.00,52335.00,52900.00,5.60K,-0.0453
2020-10-25 0:00,53710.00,57507.50,53175.00,56995.00,-,0.0774
2020-10-26 0:00,56960.00,57000.00,56395.00,56780.00,-,-0.0038
2020-10-27 0:00,56985.00,59305.00,56380.00,57765.00,5.62K,0.0173
2020-10-28 0:00,57390.00,57755.00,53220.00,54515.00,8.07K,-0.0563
2020-10-29 0:00,54365.00,58110.00,52830.00,57295.00,6.06K,0.051
2020-10-30 0:00,56950.00,58600.00,55255.00,56180.00,5.93K,-0.0195
2020-10-31 0:00,56350.00,58845.00,55340.00,57760.00,4.97K,0.0281
2020-11-01 0:00,57925.00,58572.50,57772.50,58330.00,-,0.0099
2020-11-02 0:00,58200.00,59900.00,53595.00,55705.00,7.95K,-0.045
2020-11-03 0:00,55690.00,57075.00,54375.00,56805.00,5.35K,0.0197
2020-11-04 0:00,56735.00,58140.00,53355.00,54445.00,8.67K,-0.0415
2020-11-05 0:00,54545.00,54605.00,46395.00,48365.00,14.81K,-0.1117
2020-11-06 0:00,49215.00,51475.00,48370.00,50190.00,5.43K,0.0377
2020-11-07 0:00,49350.00,49350.00,45067.50,46455.00,-,-0.0744
2020-11-08 0:00,45295.00,46620.00,42050.00,44060.00,11.15K,-0.0516
2020-11-09 0:00,43500.00,45755.00,42280.00,43150.00,8.31K,-0.0207
2020-11-10 0:00,42915.00,43530.00,30205.00,39340.00,26.73K,-0.0883
2020-11-11 0:00,38925.00,42420.00,34950.00,40320.00,13.39K,0.0249
2020-11-12 0:00,40720.00,42370.00,35135.00,36085.00,12.91K,-0.105
2020-11-13 0:00,35395.00,35395.00,33720.00,34792.50,-,-0.0358
2020-11-14 0:00,34280.00,39950.00,33720.00,39750.00,10.87K,0.1425
2020-11-15 0:00,38540.00,39885.00,36555.00,37330.00,8.77K,-0.0609
2020-11-16 0:00,38055.00,40895.00,37875.00,38545.00,9.28K,0.0325
2020-11-17 0:00,39025.00,40435.00,37270.00,38845.00,6.24K,0.0078
2020-11-18 0:00,38800.00,39180.00,35160.00,36841.40,0.52K,-0.0516
2020-11-19 0:00,35295.00,36142.50,35295.00,35635.00,-,-0.0327
2020-11-20 0:00,35647.50,37592.50,34232.50,37425.00,-,0.0502
2020-11-21 0:00,35905.00,37985.00,34250.00,35990.00,8.10K,-0.0383
2020-11-22 0:00,36205.00,38340.00,35940.00,38040.00,4.03K,0.057
2020-11-23 0:00,37835.00,39560.00,37255.00,38715.00,4.31K,0.0177
2020-11-24 0:00,38840.00,39330.00,35590.00,36955.00,8.16K,-0.0455
2020-11-25 0:00,37092.50,37092.50,35360.00,36005.00,-,-0.0257
2020-11-26 0:00,36205.00,37015.00,34000.00,35645.00,6.68K,-0.01
2020-11-27 0:00,34130.00,34295.00,30915.00,32910.00,11.21K,-0.0767
2020-11-28 0:00,33485.00,36945.00,32420.00,36375.00,8.45K,0.1053
2020-11-29 0:00,36610.00,38460.00,35815.00,36690.00,6.68K,0.0087
2020-11-30 0:00,36725.00,37700.00,35955.00,37325.00,3.33K,0.0173
2020-12-01 0:00,37000.00,39135.00,37000.00,38985.00,-,0.0445
2020-12-02 0:00,38900.00,41070.00,38705.00,39710.00,5.94K,0.0186
2020-12-03 0:00,40250.00,41335.00,39565.00,39995.00,4.18K,0.0072
2020-12-04 0:00,40025.00,40480.00,38270.00,38565.00,6.33K,-0.0358
2020-12-05 0:00,38550.00,39535.00,37315.00,37665.00,5.65K,-0.0233
2020-12-06 0:00,37695.00,38175.00,35100.00,35285.00,5.72K,-0.0632
2020-12-07 0:00,35400.00,36000.00,35240.00,35592.50,-,0.0087
2020-12-08 0:00,35555.00,35790.00,31715.00,32560.00,9.30K,-0.0852
2020-12-09 0:00,31700.00,33310.00,28800.00,32480.00,14.89K,-0.0025
2020-12-10 0:00,32560.00,34835.00,31780.00,32900.00,7.18K,0.0129
2020-12-11 0:00,33220.00,35245.00,32330.00,34805.00,6.21K,0.0579
2020-12-12 0:00,34700.00,35300.00,32630.00,33079.40,0.54K,-0.0496
2020-12-13 0:00,32000.00,34777.50,32000.00,34725.00,-,0.0497
2020-12-14 0:00,32775.00,35325.00,32750.00,34525.00,5.52K,-0.0058
2020-12-15 0:00,34680.00,36650.00,34200.00,36430.00,4.84K,0.0552
2020-12-16 0:00,36215.00,36215.00,34020.00,34725.00,3.88K,-0.0468
2020-12-17 0:00,34765.00,35185.00,32695.00,33030.00,4.61K,-0.0488
2020-12-18 0:00,33460.00,33995.00,32620.00,33285.00,3.49K,0.0077
2020-12-19 0:00,35800.00,35955.00,35227.50,35335.00,-,0.0616
2020-12-20 0:00,35335.00,35335.00,33312.50,33805.00,-,-0.0433
2020-12-21 0:00,35800.00,35955.00,33315.00,33975.00,7.00K,0.005
2020-12-22 0:00,33800.00,35140.00,33675.00,34700.00,3.87K,0.0213
2020-12-23 0:00,34200.00,34300.00,32040.00,32960.00,5.75K,-0.0501
2020-12-24 0:00,32680.00,33740.00,32295.00,33455.00,2.66K,0.015
2020-12-25 0:00,34600.00,34685.00,34237.50,34317.50,-,0.0258
2020-12-26 0:00,34430.00,34830.00,32600.00,32760.00,3.83K,-0.0454
2020-12-27 0:00,32830.00,33330.00,32150.00,32215.00,3.08K,-0.0166
2020-12-28 0:00,32535.00,33195.00,31515.00,32740.00,3.55K,0.0163
2020-12-29 0:00,32930.00,33180.00,30970.00,31410.00,6.73K,-0.0406
2020-12-30 0:00,31700.00,32205.00,30960.00,31925.00,4.09K,0.0164
2020-12-31 0:00,31770.00,31882.50,31377.50,31740.00,-,-0.0058
2021-01-01 0:00,31760.00,31860.00,30280.00,30690.00,3.95K,-0.0331
2021-01-02 0:00,30680.00,31015.00,29215.00,29715.00,4.34K,-0.0318
2021-01-03 0:00,29625.00,32830.00,29435.00,31620.00,9.99K,0.0641
2021-01-04 0:00,31920.00,32590.00,31680.00,32415.00,3.23K,0.0251
2021-01-05 0:00,32180.00,32930.00,31980.00,32270.00,2.50K,-0.0045
